,location,company,turnstileLink,snip
7349,"Monroe, WA",Fred Hutchinson Cancer Research Center,Medical Lab Scientist or Medical Lab Tech,
7350,"Renton, WA",Microsoft,Facilities Analyst - Automotive Vendor Focal,
7351,"Seattle, WA 98104 (First Hill area)",Microsoft,"Clinical Data Engineer - Modeling, BI & ETL Focus",
7352,"Renton, WA",Fred Hutchinson Cancer Research Center,Senior Training Systems Integrator,
7353,"Seattle, WA",Convoy,PROGRAM OPERATIONS SPECIALIST,
7354,"Seattle, WA",University of Washington,SOFTWARE ENGINEER - SINGLE CELL GENOMIC DATA ANALYSIS,
7355,"Seattle, WA 98109 (Westlake area)",University of Washington,"Bioinformatics Analyst I-II, Translational Genomics",
7356,"Seattle, WA 98109 (Westlake area)",Seattle Children’s,Reports Programmer,
7357,"Bellevue, WA 98004 (Downtown area)",Microsoft,Business Analytics Specialist,
7358,"Redmond, WA",Facebook,Technical Advisor,
7359,"Seattle, WA 98109 (Westlake area)",Facebook,Clinical Coding Specialist III,
7360,"Seattle, WA",UiPath,"Head of Product Management, Finance",
7361,"Seattle, WA",Juno Therapeutics,CHARGE ROUTER ANALYST,
7362,"Seattle, WA",Zillow Group,SENIOR MECHANICAL ENGINEER (RESEARCH SCIENTIST – SENIOR),
7363,"Seattle, WA",AGC Biologics,Fellow - PhD,
7364,"Redmond, WA",Facebook,Lead Data Scientist,
7365,"Seattle, WA 98101 (Downtown area)",BOEING,Machine Learning Engineer (Conversational AI Group),
7366,"Seattle, WA 98101 (Downtown area)",Facebook,Machine Learning Engineers – Integrity and Anti-Abuse,
7367,"Bellevue, WA",Microsoft,Customer Machine Learning Engineer,
7368,"Seattle, WA 98109 (Westlake area)",University of Washington,"Principal Scientist, Product Sciences",
7369,"Seattle, WA 98101 (Downtown area)",BOEING,"Senior Manager, Applied Science",
7370,"Seattle, WA",RhythmOne,Process Technology Scientist -Upstream,
7371,"Seattle, WA 98101 (Downtown area)",DocuSign,"Data Scientist, Analytics - Brand Safety & Integrity Lead",
7372,"Bellevue, WA",The Climate Corporation,Junior Systems Design & Integration Specialist,
7373,"Redmond, WA",Edifecs,"Research Scientist, Silicon (PhD Student or Grad)",
7374,"Bellevue, WA 98004 (Downtown area)",Slalom Consulting,Principal Applied Scientist,
7375,"Seattle, WA",Microsoft,DEPUTY EXECUTIVE SECRETARY - UNOLS,
7376,"Everett, WA 98204 (Holly area)",IHS Markit,Mid-Level Methods Process Analyst,
7377,"Bellevue, WA",Microsoft,Sr. Data Engineer,
7378,"Seattle, WA 98101 (Downtown area)",University of Washington,Director- Data Science,
7379,"Seattle, WA",Microsoft,"Sr. Staff Software Engineer, Backend (Multiple levels)",
7380,"Bellevue, WA 98004 (Downtown area)",University of Washington,UX Designer,
7381,"Seattle, WA 98104 (First Hill area)",Fred Hutchinson Cancer Research Center,Solution Principal - Machine Learning - Information Manageme...,
7382,"Redmond, WA",Galvanize,Senior Machine Learning Engineer,
7383,"Bellevue, WA",BOEING,Big Data Developer,
7384,"Redmond, WA",Qualtrics,Sr. Applied Machine Learning Engineer,
7385,"Seattle, WA",Blue Origin,EDUCATION SPECIALIST (UW ONLY),
7386,"Redmond, WA",Microsoft,Principal Applied Scientist Manager,
7387,"Seattle, WA",Russell Investments,"ANALYST, FINANCE AND PERFORMANCE ANALYTICS",
7388,"Seattle, WA 98109 (Westlake area)",Microsoft,"Staff Scientist, Immunotherapy",
7389,"Seattle, WA 98104 (First Hill area)",Zillow Group,"Lead Data Science Instructor, Principal Data Scientist",
7390,"Everett, WA 98204 (Holly area)",Vulcan Inc.,"Procurement Analyst, Mid-Career",
7391,"Seattle, WA",Zillow Group,Sr. UX Data Scientist,
7392,"Kent, WA",Getty Images,Principal Technologist - Machine Learning and Data Science,
7393,"Bellevue, WA 98004 (Downtown area)",Celgene,Applied Science Manager,
7394,"Seattle, WA",The Climate Corporation,Senior Research Analyst,
7395,"Issaquah, WA",HNTB,DCS Principal Data & Applied Scientist,
7396,"Seattle, WA 98101 (Downtown area)",Facebook,Principal Machine Learning Scientist- Zillow Offers Team,
7397,"Seattle, WA",Microsoft,Director of Machine Learning,
7398,"Seattle, WA 98101 (Downtown area)",Convoy,"Senior Manager, Applied Science",
7399,"Seattle, WA 98103 (Green Lake - Wallingford area)",Illumina,"Technical Program Manager - Data, Internal Tools",
7400,"Seattle, WA",Zillow Group,"Research Associate, Molecular Analyst, Viral Vector Process...",
7401,"Seattle, WA",Astellas Pharmaceuticals,Weather Science Research Lead,
7402,"Bellevue, WA 98004 (Downtown area)",Big Fish Games,Environmental Scientist III,
7403,"Redmond, WA",BOEING,"Mechanical Engineer, Interaction Tracking",
7404,"Redmond, WA",Zillow Group,Senior Software Engineer,
7405,"Seattle, WA",Zillow Group,Engineering Manager - Data Infrastructure,
7406,"Seattle, WA",CDK Global,Field Applications Scientist 2,
7407,"Seattle, WA 98101 (Downtown area)",Fred Hutchinson Cancer Research Center,Sr. Machine Learning Engineer,
7408,"Seattle, WA",Microsoft,"Scientist, Core Technologies",
7409,"Seattle, WA 98104 (First Hill area)",Fred Hutchinson Cancer Research Center,Senior BI Product Manager,
7410,"Everett, WA 98204 (Holly area)",BOEING,Systems Engineer,
7411,"Seattle, WA 98101 (Downtown area)","Seattle Genetics, Inc.",Software Development Engineer,
7412,"Seattle, WA 98101 (Downtown area)",Lab126,"Senior Software Development Engineer, Economic Research",
7413,"Seattle, WA 98101 (Downtown area)",Microsoft,Digital Advertising Strategist,
7414,"Seattle, WA 98109 (Westlake area)",BOEING,Exercise Specialist (part-time),
7415,"Bellevue, WA 98004 (Downtown area)",Fred Hutchinson Cancer Research Center,UX Content Designer,
7416,"Seattle, WA 98109 (Westlake area)",Providence Health & Services,"Staff Scientist, Computational Biology",
7417,"Everett, WA 98204 (Holly area)",CDK Global,"Experienced, Engineering Technical Specialist",
7418,"Bothell, WA",Fred Hutchinson Cancer Research Center,Sr. Statistical Programmer I/II,
7419,"Seattle, WA",Microsoft,Machine Learning Scientist - Prime Video Relevance,
7420,"Redmond, WA",Facebook,Senior Machine Learning Engineer,
7421,"Renton, WA","Brooks Sports, Inc",Business Development Specialist - Interiors,
7422,"Seattle, WA 98109 (Westlake area)",Hudson River Trading,"Staff Scientist, Immunotherapy",
7423,"Renton, WA 98057",Microsoft,"Data Science Strategist, Product Management and Advanced Ana...",
7424,"Seattle, WA 98104 (First Hill area)",Facebook,DevOps Engineer,
7425,"Seattle, WA 98109 (Westlake area)",Microsoft,Clinical Programmer II,
7426,"Redmond, WA",Fred Hutchinson Cancer Research Center,Quantitative Treasury Analyst,
7427,"Seattle, WA 98101 (Downtown area)",Impel Neuropharma,"Applied Research Scientist, Core Machine Learning",
7428,"Seattle, WA",Centric Consulting,"Director, Brooks Runner Performance Lab",
7429,"Bellevue, WA",NVIDIA,Systems Administrator (Linux) - Bellevue,
7430,"Redmond, WA",Infox Consulting,Research Intern - Database Group,
7431,"Redmond, WA",Microsoft,"Mechanical Engineer, Interaction Tracking",
7432,"Redmond, WA",Microsoft,Machine Learning Scientist II,
7433,"Seattle, WA 98109 (Westlake area)",Tableau,Clinical Programmer II,
7434,"Seattle, WA 98119 (Queen Anne area)",University of Washington,Principal Scientist – Analytical Development & Outsourcing,
7435,"Seattle, WA",Qualtrics,Senior Data Architect with Machine Learning,
7436,"Redmond, WA",Fred Hutchinson Cancer Research Center,"Senior Deep Learning Scientist, Autonomous Vehicles",
7437,"Seattle, WA",Cray,Research Scientist -- Computer Vision & Machine Learning,
