,location,company,turnstileLink,snip
0,"Dallas, TX",Parkland Health and Hospital System,Enterprise Data Scientist,
1,"Dallas, TX",Parkland Health and Hospital System,Data & Applied Scientist- PCCI,
2,"Richardson, TX 75082",Samsung Electronics,Data Science Intern - Summer 2019,
3,"Plano, TX 75086",Capital One,Data Science Intern,
4,"Richardson, TX",Verveba Analytics,Data Scientist- Multiple Openings,
5,"Plano, TX 75093",PepsiCo,R&D Intern,
6,"Dallas, TX",Zimmerman Advertising,Data Scientist,
7,"Irving, TX",7-Eleven,Data Scientist,
8,"Dallas, TX 75224 (Southwest Dallas area)",Money Mart Financial Services,Data Scientist (Advanced Degree Required),
9,"Plano, TX",Ericsson,Data Scientist,
10,"Plano, TX",Ericsson,Data Scientist,
11,"Dallas, TX",Fred's,"Data Scientist, Forecasting & Planning",
12,"Dallas, TX",ICF,"School Survey Data Collector -Dallas, TX",$720 a week
13,"Dallas, TX",REPAY,Data Scientist - Payments / FinTech - A FORTUNE Top 50 Best...,
14,"Richardson, TX 75082",Samsung Electronics,Data Science Intern - Summer 2019,
15,"Coppell, TX 75019",Caliber Home Loans,Data Scientist,
16,"Dallas, TX",Zimmerman Advertising,Data Scientist,
17,"Irving, TX 75038",Boy Scouts of America,Data Scientist,
18,"Irving, TX",7-Eleven,Data Scientist,
19,"Dallas-Fort Worth, TX",Texas Tech Univ Health Sciences Ctr,HSC Sr Research Scientist,"$4,000 a month"
20,"Dallas, TX 75206 (M Streets area)",Jewelers Mutual Insurance Company,Data Scientist II,
21,"Plano, TX 75093",STATinMED Research,"Statistical Analyst, Jr",
22,"Dallas, TX",Impetus Technologies,Data Scientist,
23,"Irving, TX",W.R. Berkley,Data Scientist,
24,"Dallas, TX 75224 (Southwest Dallas area)",Money Mart Financial Services,Senior Data Scientist,
25,"Plano, TX",Pizza Hut Corporate,Sr. Scientist Product Development,
26,"Dallas, TX 75204 (M Streets area)",Saputo,Regulatory Scientist,
27,"Irving, TX",Frontier Communications Corporation,Senior Data Scientist,
28,"Dallas, TX 75234",APTIM,Environmental Scientist,
29,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Accounts Payable Clerk,
30,"Dallas, TX",Mary Kay Inc,Research & Development Internships,
31,"Lewisville, TX 75067",JP Morgan Chase,"Associate, Business Analysis | Data Analyst",
32,"Irving, TX 75062",Flowserve Corporation,Data Analyst,
33,"Irving, TX 75039",TXU Energy,Technology Research Analyst,
34,"Allen, TX",JLL,Data Scientist,
35,"Plano, TX 75093",PepsiCo,Principal Scientist - Dips/Salsa's,
36,"Irving, TX",Vistra Corporate Services Company,Technology Research Analyst,
37,"Plano, TX 75086",Intuit,Senior Data Scientist,
38,"Plano, TX",AT&T,Senior-Data Scientist,
39,"Garland, TX",TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS - LES - Forensic Scientist V DNA,
40,"Irving, TX",Allstate,"Data Analytics Engineer Internship (Irving, TX)",
41,"Dallas, TX 75247 (Northwest Dallas area)",Terracon,Field Geologist/Scientist,
42,"Dallas, TX",ICF,"School Survey Data Collector -Dallas, TX",$720 a week
43,"Richardson, TX","Blue Cross Blue Shield of IL, MT, NM, OK & TX",Senior Data Scientist,
44,"Dallas, TX",TEGNA,Research Analyst,
45,"Dallas, TX",AT&T,Senior-Advanced Analytics (Data Scientist),
46,"Allen, TX",JLL,Data Scientist,
47,"Dallas, TX 75252 (Far North area)","Mode Transportation, LLC",Senior Data Scientist,
48,"Plano, TX 75093",STATinMED Research,Statistical Programmer - Junior,
49,"Dallas, TX 75235 (Love Field area)",BOEING,Procurement Agent,
50,"Dallas, TX 75234",APTIM,Environmental Intern,
51,"Plano, TX 75086",Intuit,Senior Data Scientist,
52,"Dallas, TX",Parkland Health and Hospital System,Machine Learning Engineer-PCCI,
53,"Dallas, TX 75230 (North Dallas area)",Deloitte,"Manager: Technology Researcher-Analytics, AI, and Machine Le...",
54,"Dallas, TX 75201 (City Center District area)",Cushman & Wakefield,Analyst Dallas Research,
55,"Plano, TX 75086",Capital One,"Principal Associate, Data Science",
56,"Dallas, TX",AT&T,Principal-Advanced Analytics (Data Scientist),
57,"Dallas, TX",IHS Markit,Research Analyst II,
58,"Plano, TX 75086",Capital One,Machine Learning Engineer,
59,"Plano, TX",AT&T,Senior Software Engineer - Data Science,
60,"Dallas, TX",Wunderman,"Vice President, Data Science - Machine Learning",
61,"Southlake, TX 76092",Sabre,Senior Data Scientist,
62,"Lewisville, TX",Mary Kay Inc,Assoc Principal Scientist CPI,
63,"Coppell, TX 75019",AAA Texas,Data Scientist Lead,
64,"Dallas, TX","JDA Software Group, Inc.",Data Science Consultant,
65,"Dallas, TX",GA Instructor,Data Science Instructor Associate (Part-Time),
66,"Richardson, TX","Blue Cross Blue Shield of IL, MT, NM, OK & TX",Senior Data Scientist,
67,"Irving, TX 75039",NOKIA,RollOut Manager,
68,"Dallas, TX",AT&T,Principal-Advanced Analytics (Data Scientist),
69,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Quality Assurance Analyst,
70,"Plano, TX 75024",JP Morgan Chase,Data Engineer - AWM Production and Infrastructure,
71,"Richardson, TX","Blue Cross Blue Shield of IL, MT, NM, OK & TX",Senior Data Scientist,
72,"Dallas, TX",Dallas Independent School District,Statistical Analyst II (226 Days),
73,"Dallas, TX 75204 (M Streets area)",Saputo,Regulatory Scientist,
74,"Dallas, TX",UT Southwestern Medical Center,Financial Analyst II - Neuroscience Translational Research C...,
75,"Dallas, TX",OpenText,"Solution Consultant, Data Science, AI",
76,"Dallas, TX 75201 (City Center District area)","Hilltop Holdings, Inc.","Analyst, Quantitative Analytics",
77,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Quality Assurance Analyst,
78,"Dallas, TX 75247 (Northwest Dallas area)",Terracon,Field Geologist/Scientist,
79,"Plano, TX",Pizza Hut Corporate,Sr. Scientist Product Development,
80,"Dallas, TX",The Adecco Group,part-time data science instructor,
81,"Irving, TX 75038",Verizon,Data Scientist - Cyber Security,
82,"Dallas, TX 75201 (City Center District area)",Cushman & Wakefield,Analyst Dallas Research,
83,"Irving, TX",Allstate,"Data Analytics Engineer Internship (Irving, TX)",
84,"Red Oak, TX",Texas State Technical College,Prospect Management & Research Analyst,
85,"Dallas, TX 75252 (Far North area)","Mode Transportation, LLC",Senior Data Scientist,
86,"Dallas, TX","Cardinal Intellectual Property, Inc",Machine Learning Engineer,
87,"Irving, TX",NOKIA,Go to Market Strategist,
88,"Allen, TX",JLL,Business Intelligence Analyst and Consultant,
89,"Plano, TX 75024",JP Morgan Chase,"Corporate - Forecasting & Capital Solutions, Business Analyt...",
90,"Irving, TX 75039",Citi,"VP, Insights & Design Strategist",
91,"Dallas, TX",Wunderman,"Vice President, Data Science - Machine Learning",
92,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Internal Communications Manager,
93,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Benefits Specialist,
94,"Plano, TX 75093",PepsiCo,Principal Scientist - Dips/Salsa's,
95,"Lewisville, TX 75067",JP Morgan Chase,"Vice President, Business Analysis | Data Governance",
96,"Irving, TX 75039",Citi,"Architect Specialist, Real-Time Machine Learning",
97,"Dallas, TX 75252 (Far North area)","Mode Transportation, LLC",Senior Data Scientist,
98,"Irving, TX 75039",FleetPride,"Manager, Investigations and Data Analysis",
99,"Allen, TX",JLL,Business Intelligence Analyst and Consultant,
100,"Dallas, TX",Systems Evolution Inc.,Data & Analytics Consultant (DAL),
101,"Arlington, TX",SWCA Environmental Consultants,"Wetland Delineator, Environmental Specialist",
102,"Dallas, TX 75201 (City Center District area)",A. H. Belo Corporation,Data Engineer,
103,"Dallas, TX",DTCC,Senior Quantitative Analyst,
104,"Plano, TX",Epsilon,Machine Learning Scientist Engineer,
105,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Finance Manager,
106,"Dallas, TX",UT Southwestern Medical Center,Sr. Research Scientist - Neurology,
107,"Dallas, TX",CDK Global,CRM Software Implementation/Trainer,
108,"Plano, TX 75086",Capital One,"Principal Associate, Data Science",
109,"Dallas, TX",OpenText,"Solution Consultant, Data Science, AI",
110,"Dallas, TX 75246 (Northeast Dallas area)",Baylor Scott & White Health,Research Postdoctoral Fellow Rehabilitation,
111,"Dallas, TX",Trinity Industries,Maintenance Supervisor,
112,"Dallas, TX",Quisitive,O365 Architect,
113,"Plano, TX 75086",Walmart Stores,Principal Data Scientist / COMPUTER VISION Engineer,
114,"Plano, TX",AllianceData,Machine Learning Scientist Engineer,
115,"Lewisville, TX","Alliance Source Testing, LLC",Environmental Project Scientist,
116,"Plano, TX 75086",Capital One,"Senior Manager, Data Analytics",
117,"Dallas, TX",UT Southwestern Medical Center,Sr. Research Scientist - Pathology,
118,"Dallas, TX",KORNFERRY,"Senior IT Recruiter Dallas, Texas",
119,"Dallas, TX",ThoughtWorks,Lead Data Engineer,
120,"Plano, TX 75086",Capital One,Principal Machine Learning Scientist,
121,"Dallas, TX 75201 (City Center District area)","Hilltop Holdings, Inc.","Analyst, Quantitative Analytics",
122,"Plano, TX",ITL USA,Senior Principal - Business Consulting,
123,"Plano, TX 75086",Capital One,Machine Learning Engineer,
124,"Dallas, TX 75202 (City Center District area)",Uber,Sr Operations Manager (Dallas) - JUMP Bikes,
125,"Plano, TX 75024",PubMatic,Senior Data Scientist / Machine Learning Engineer,
126,"Dallas, TX",Cardinal Health,HEOR Lead Analyst,
127,"Plano, TX 75086",Capital One,Experience Designer,
128,"Dallas, TX",UT Southwestern Medical Center,Research Scientist - Molecular Radiation Biology,
129,"Irving, TX 75039",Citi,"VP, Insights & Design Strategist",
130,"Dallas, TX",UT Southwestern Medical Center,SCIENTIFIC PROGRAMMER (Medical Image and Neuroimage Analysis...,
131,"Plano, TX",AllianceData,Machine Learning Scientist Engineer,
132,"Dallas, TX 75230 (North Dallas area)",Deloitte,Tech-Telco-Media - Cognitive Machine Learning - Manager,
133,"Dallas, TX",UT Southwestern Medical Center,Research Scientist - Psychiatry - Self Lab,
134,"Dallas, TX 75251 (North Dallas area)",Daisy Brand,Corporate Quality Assurance Specialist,
135,"Dallas, TX",UT Southwestern Medical Center,Sr. Research Scientist - Pathology,
136,"Dallas, TX",UT Southwestern Medical Center,Computational Scientist - Bioinformatics,
137,"Irving, TX",NOKIA,Go to Market Strategist,
138,"Garland, TX",TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS - LES - Forensic Scientist V DNA,
139,"Dallas, TX",CDK Global,CRM Software Implementation/Trainer,
140,"Plano, TX 75086",Capital One,DevOps Engineer (Center for Machine Learning),
141,"Dallas, TX 75230 (North Dallas area)",Deloitte,Tech-Telco-Media - Cognitive Machine Learning - Manager,
142,"Dallas, TX",UT Southwestern Medical Center,Sr. Research Scientist - Neurology,
143,"Dallas, TX",CDK Global,CRM Software Implementation/Trainer,
144,"Irving, TX",Exeter Finance LLC,Senior Data Architect,
145,"Dallas, TX",UT Southwestern Medical Center,Clinical Research Finance Analyst - Sponsored Programs Admin...,
146,"Dallas, TX",Cardinal Health,HEOR Lead Analyst,
147,"Plano, TX 75093",USAA,Quantitative Risk Analyst II - ALM,
148,"Dallas, TX 75230 (North Dallas area)",Deloitte,Cognitive Machine Learning Senior Manager,
149,"Addison, TX 75001",USAA,Quantitative Risk Analyst Lead,
150,"Dallas, TX",UT Southwestern Medical Center,Research Financial Analyst II - Surgery Department,
151,"Irving, TX",Allstate,Machine Learning Engineer,
152,"Richardson, TX",Texas Capital Bank,Model Validation Analyst (Quantitative Risk Analyst),
153,"Dallas, TX",Accenture,AI and Machine Learning Engineer - Consultant,
154,"Irving, TX","Kleinfelder, Inc.",Construction Materials Testing Technician,
155,"Plano, TX 75093",USAA,Quantitative Risk Analyst II - ALM,
156,"Plano, TX",AT&T,Principal - Big Data Software Engineer,
157,"Dallas, TX 75205 (Highland Park area)",Southern Methodist University,Senior Data Research Analyst (Student Academic Engagement an...,
158,"Arlington, TX",University of Texas at Arlington,Assistant Professor - Earth & Environmental Science,
159,"Plano, TX 75086",Capital One,"Manager, Design",
160,"Dallas, TX 75261",Siemens,Regional Collaborations Senior Manager (Midwest Region),
161,"Irving, TX 75038",Abbott Laboratories,System Integration Specialist V,
162,"Coppell, TX","GOIN Technology, Inc.",Product Manager,
163,"Dallas, TX",UT Southwestern Medical Center,Clinical Research Finance Analyst - Sponsored Programs Admin...,
164,"Dallas, TX 75204 (M Streets area)",Baylor Scott & White Health,Research Postdoctoral Fellow Mathematical Modeling,
165,"Dallas, TX",CDK Global,Sr. Implementation Consultant - Automotive Dealer Software S...,
166,"Dallas, TX",UT Southwestern Medical Center,Research Scientist - Psychiatry - Self Lab,
167,"Dallas, TX",Quisitive,Azure Infrastructure Engineer,
168,"Dallas, TX",KORNFERRY,"Sr. Technical Recruiter Dallas, Texas",
169,"Irving, TX 75039",Citi,"Architect Specialist, Real-Time Machine Learning",
170,"Dallas, TX",KORNFERRY,"Sr. Technical Recruiter Dallas, Texas",
171,"Lewisville, TX","Alliance Source Testing, LLC",Environmental Project Scientist,
172,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Vision Financial Systems Administrator,
173,"Plano, TX 75086",Capital One,DevOps Engineer (Center for Machine Learning),
174,"Addison, TX",Apple Leisure Group,SEM Channel Manager,
175,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Energy Analyst & Systems Design Engineer,
176,"Dallas, TX",Quisitive,Azure Infrastructure Engineer,
177,"Dallas, TX 75202 (City Center District area)",Trinity Industries,Maintenance Supervisor,
178,"Coppell, TX","GOIN Technology, Inc.",Product Manager,
179,"Arlington, TX",University of Texas at Arlington,Assistant Professor - Earth & Environmental Science,
180,"Arlington, TX",SWCA Environmental Consultants,"Wetland Delineator, Environmental Specialist",
181,"Dallas, TX",Quisitive,O365 Architect,"$96,000 - $145,000 a year (Indeed est.)"
182,"Dallas, TX",Givelify,Senior Product Manager,"$102,000 - $143,000 a year (Indeed est.)"
183,"Dallas, TX",Alation Inc.,Account Executive - Austin or Dallas,
184,"Dallas, TX 75246 (Northeast Dallas area)",Baylor Scott & White Health,Research Post Doctorate Fellow - GI Cancer (Dallas),"$40,000 - $55,000 a year (Indeed est.)"
185,"Dallas, TX",CBRE,Senior Product Manager,"$103,000 - $145,000 a year (Indeed est.)"
186,"Irving, TX","Kleinfelder, Inc.",Construction Materials Testing Technician,"$29,000 - $41,000 a year (Indeed est.)"
187,"Dallas, TX",Burns & McDonnell,Texas Regional A&F Global Practice Manager,
188,"Plano, TX",Xandr,Principal Technical Product Development Manager,
189,"Dallas, TX","JDA Software Group, Inc.",Senior Optimization Engineer,"$111,000 - $156,000 a year (Indeed est.)"
190,"Dallas, TX",Quisitive,Azure Infrastructure Architect,
191,"Plano, TX 75086",Capital One,DevOps Engineer (Center for Machine Learning),
192,"Plano, TX",NOKIA,Principal Consulting Engineer - Nuage,
193,"Carrollton, TX 75006",Thomson Reuters,Tax Analyst - Tax Research and Content,
194,"Irving, TX 75039",Humana,Senior Cognitive/Machine Learning Professional,
195,"Addison, TX 75001",USAA,Quantitative Risk Analyst Lead,
196,"Dallas, TX",UT Southwestern Medical Center,SCIENTIFIC PROGRAMMER (Medical Image and Neuroimage Analysis...,
197,"Dallas, TX",UT Southwestern Medical Center,SCIENTIFIC PROGRAMMER III - Bioinformatics,
198,"Plano, TX",Xandr,Principal Technical Product Development Manager,
199,"Dallas, TX",UT Southwestern Medical Center,Research Technician II - IM - Hematology / Oncology,
200,"Dallas, TX",Burns & McDonnell,Senior Civil Engineer - Railroads,
201,"Irving, TX 75039",Citi,Architect Lead Analyst - Real Time Machine Learning,
202,"Dallas, TX",Quisitive,Azure Application Architect,
203,"Dallas, TX",CDK Global,Network Systems Engineer II,
204,"Dallas, TX",Burns & McDonnell,Senior Civil Engineer - Highways,
205,"Dallas, TX",Givelify,Senior Full Stack Engineer,
206,"Irving, TX 75039",NOKIA,Marketing Application / Solution Architect,
207,"Dallas, TX",HDR,Senior Mechanical Engineer,
208,"Plano, TX 75086",Capital One,Lead Java Developer (Dealer),
209,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Energy Analyst & Systems Design Engineer,
210,"Dallas, TX",Burns & McDonnell,Staff Electrical Engineer - Global Facilities (Mission Criti...,
211,"Dallas, TX",Burns & McDonnell,Senior Electrical Engineer,
212,"Dallas, TX",Burns & McDonnell,Entry-Level Civil/Structural Engineer- Transmission & Distri...,
213,"Carrollton, TX 75006",Thomson Reuters,"Senior Tax Analyst, Tax Research and Content",
214,"Carrollton, TX 75006",Thomson Reuters,Senior GIS Analyst - Tax Research and Content,
215,"Dallas, TX",UT Southwestern Medical Center,Computational Biologist II - Clinical Sciences (Biomedical I...,
216,"Dallas, TX",Burns & McDonnell,Senior Electrical Engineer - Global Facilities (Mission Crit...,
217,"Dallas-Fort Worth, TX",DFW International Airport,Data Scientist,
218,"Dallas, TX",DataRobot,Customer Facing Data Scientist,
219,"Lewisville, TX",Horizon Health Services,Data Scientist,
220,"Dallas, TX",Negocios IT,Lead Infra Data Scientist,
221,"Dallas, TX","HydroGeoLogic, Inc",Staff Scientist,
222,"Dallas, TX",Antuit,Data Scientist,
223,"Bedford, TX",Nanoscope Technologies,Scientist,
224,"Lewisville, TX",Horizon Health Services,Data Scientist – Report Builder,
225,"Plano, TX 75075",Funnel Science,Marketing Data Scientist,
226,"Dallas, TX 75201 (City Center District area)",ALS TDI,Events Development Manager,
227,"Plano, TX",Advithri Technologies,Data Research Analyst,
228,"Dallas, TX",Briggs Equipment,Parts Research Analyst,
229,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Environmental Position (Entry and Staff level) for Environme...,
230,"Dallas, TX 75251 (North Dallas area)",Bodycote,Credit Analyst,
231,"Dallas-Fort Worth, TX",Quisitive,Microsoft Excel Power User,
232,"Dallas, TX",Antuit,Artificial Intelligence Scientist,
233,"Dallas, TX 75251 (North Dallas area)",IRMI,Research Analyst,
234,"Carrollton, TX 75006","Gradalis, Inc.",Manufacturing Scientist 1,
235,"Plano, TX 75023","GuruFocus.com, LLC",Client Service Analyst - Stock Research,
236,"Dallas-Fort Worth, TX",Quisitive,O365 Messaging Architect,
237,"Richardson, TX 75080",The University of Texas at Dallas,Research Associate,
238,"Dallas, TX 75201 (City Center District area)",Vixxo,Sr Analytics Consultant (Full time),
239,"Dallas, TX 75244",Signify Health,Lead Data Scientist,
240,"Dallas, TX 75201 (City Center District area)",ALS TDI,Events Development Manager,
241,"Dallas-Fort Worth, TX",Quisitive,Microsoft Excel Power User,
242,"Dallas, TX 75251 (North Dallas area)",Bodycote,Credit Analyst,
243,"Dallas, TX",Tech Mahindra Americas,Machine Learning Engineer,
244,"Plano, TX 75023","GuruFocus.com, LLC",Client Service Analyst - Stock Research,
245,"Plano, TX 75093",Money Matters with Ken Moraif,BUSINESS INTELLIGENCE ANALYST,
246,"Dallas, TX",Phototype,Senior Color Analyst,
247,"Dallas, TX",Bont Software & Control Systems,Computer Scientist/SCADA Engineer,
248,"Dallas, TX",Society of Hispanic Professional Engineers,Programs Manager,
249,"Dallas, TX",M Science,SOFTWARE ENGINEER,
250,"Carrollton, TX 75006","Gradalis, Inc.",Manufacturing Scientist 1,
251,"Dallas, TX",Agency Entourage,Paid Media Manager,
252,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,
253,"Dallas, TX",HistoWiz,Scientific Sales Executive (Texas Region),
254,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Environmental Position (Entry and Staff level) for Environme...,
255,"Dallas, TX 75244",Signify Health,Data Engineer/ Wrangler,
256,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Research Analyst, Executive Search (Industrial Practice)",
257,"Dallas, TX 75251 (North Dallas area)",Simple [A],Senior Integration Delivery and Strategic Services Professio...,
258,"Garland, TX 75042","Nutribiotech USA, Inc.",Lab Supervisor,
259,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,
260,"Plano, TX",Quisitive,App Insights Web Application Performance Manager,
261,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CIO Practice)",
262,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
263,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,
264,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
265,"Dallas, TX",M Science,SOFTWARE ENGINEER,
266,"Dallas, TX",M Science,UI ENGINEER,
267,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
268,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,
269,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
270,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
271,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
272,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,
273,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,
274,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
275,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
276,"Dallas-Fort Worth, TX",Quisitive,O365 Messaging Architect,
277,"Grand Prairie, TX 75052","Airbus Helicopters, Inc",Head of Connect Services NA,
278,"Dallas, TX",M Science,UI ENGINEER,
279,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
280,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
281,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
282,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
283,"Grand Prairie, TX 75052","Airbus Helicopters, Inc",Head of Connect Services NA,
284,"Carrollton, TX 75006","Gradalis, Inc.",Quality Assurance Scientist/Engineer 1,
285,"Plano, TX",Quisitive,App Insights Web Application Performance Manager,
286,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
287,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CIO Practice)",
288,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
289,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
290,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
291,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
292,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
293,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,
294,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
295,"Dallas, TX",M Science,SOFTWARE ENGINEER,
296,"Dallas, TX",M Science,UI ENGINEER,
297,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
298,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,
299,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
300,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
301,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
302,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
303,"Grand Prairie, TX 75052","Airbus Helicopters, Inc",Head of Connect Services NA,
304,"Carrollton, TX 75006","Gradalis, Inc.",Quality Assurance Scientist/Engineer 1,
305,"Plano, TX",Quisitive,App Insights Web Application Performance Manager,
306,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
307,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CIO Practice)",
308,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
309,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
310,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
311,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
312,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
313,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,
314,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
315,"Dallas, TX",M Science,SOFTWARE ENGINEER,
316,"Dallas, TX",M Science,UI ENGINEER,
317,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
318,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,
319,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
320,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
321,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
322,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
323,"Grand Prairie, TX 75052","Airbus Helicopters, Inc",Head of Connect Services NA,
324,"Carrollton, TX 75006","Gradalis, Inc.",Quality Assurance Scientist/Engineer 1,
325,"Plano, TX",Quisitive,App Insights Web Application Performance Manager,
326,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
327,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CIO Practice)",
328,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
329,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
330,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
331,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
332,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
333,"Grand Prairie, TX 75052","Airbus Helicopters, Inc",Head of Connect Services NA,
334,"Carrollton, TX 75006","Gradalis, Inc.",Quality Assurance Scientist/Engineer 1,
335,"Plano, TX",Quisitive,App Insights Web Application Performance Manager,
336,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
337,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CIO Practice)",
338,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
339,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,
340,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
341,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,
342,"Irving, TX 75063","SilverXis, Inc.",Business Analyst,
343,"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,"$76,000 - $113,000 a year (Indeed est.)"
344,"Dallas, TX",Agency Entourage,Senior Paid Media Manager,
345,"Dallas, TX",M Science,SOFTWARE ENGINEER,"$97,000 - $145,000 a year (Indeed est.)"
346,"Dallas, TX",M Science,UI ENGINEER,"$86,000 - $127,000 a year (Indeed est.)"
347,"Dallas, TX 75240 (Far North area)",Egon Zehnder,"Senior Research Analyst, Executive Search (CFO Practice)",
348,"Dallas, TX",Gurutech Solutions,Sr Software Engineer,"$99,000 - $133,000 a year (Indeed est.)"
349,"Dallas, TX 75220 (Preston Hollow area)","Giles Engineering Associates, Inc.",Construction Materials Technician,
350,"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,"$103,000 - $149,000 a year (Indeed est.)"
351,"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,"$91,000 - $129,000 a year (Indeed est.)"
